company,url,method
Fox Sports,http://www.foxsports.com,wikidata
Fox Sports Latin America,http://www.foxsports.com,wikidata
Foxtel,https://www.foxtel.com.au,wikidata
France 24,https://www.france24.com/ar/,wikidata
France Televisions,https://france.tv,wikidata
Fraunhofer Institute Fokus,https://www.fokus.fraunhofer.de/,wikidata
Fremantle,http://www.fremantle.com/,wikidata
Fuji Television,https://www.fujitv.co.jp/,wikidata
Gity,https://about.gitlab.com/company/,wikidata
Global Radio,http://www.global.com/,wiki_parser
GlobeCast,https://www.globecast.com/,wiki_parser
Globosat,http://canaisglobosat.globo.com/,wikidata
GO,http://www.go.com.mt/,wikidata
Grupo Globo,https://grupoglobo.globo.com,wikidata
GTD Grupo,http://www.groupo.com,wikidata
GTT Communications,http://gtt.net,wiki_parser
Hathway,https://www.hathway.com,wikidata
Hayat TV,http://www.hayattv.net/,wikidata
HBO (Home Box Office),https://hbo.com,wikidata
HBO (Home Box Office) Max,https://hbo.com,wikidata
HBS (Host Broadcast Services),https://www.hbs.tv/,wikidata
HDR,https://www.hdrinc.com/,wikidata
Headline News Facilities Productions,https://w.org,domains
HOT Telecommunication Systems,https://www.hot.net.il,wiki_parser
HRT (Croatian Radiotelevision),https://en.wikipedia.org/wiki/Croatian_Radiotelevision,llm
Hrvatski Telekom (Croatian Telecom),http://www.t.ht.hr/eng/,wikidata
Hughes Network Systems,https://w.org,domains
hulu,https://www.hulu.com/,wikidata
Hungaro DigiTel,http://www.digitel.com.ve,wiki_parser
IBM,https://www.ibm.com/,wikidata
IHS Towers,https://w.org,domains
Imedi TV,https://imedi.ge,wikidata
IMG,http://www.imgworld.com,wikidata
iMG Arena,https://www.img.com/,wiki_parser
Infosys,https://www.infosys.com/,wikidata
Insight TV,http://www.insight.com/,wikidata
Israeli Public Broadcasting Corporation (KAN),http://www.kan.org.il/,wikidata
"ITN (News, Source & Productions)",https://w.org,domains
ITV,https://www.itvplc.com/,wikidata
iTV Network,https://w.org,domains
ITV Studios,http://www.itvstudios.com,wikidata
Iyuno-SDI Group,https://iyuno.com/,wiki_parser
Izzi Telecom,https://www.izzi.mx,wiki_parser
Jamuna TV,https://www.jamuna.tv/,wikidata
Joyn,https://www.joyn.de/,wikidata
Kcell (Kazakhstan Cellular),http://www.kcell.kz,wikidata
KPN,https://www.kpn.com/,wikidata
KT,http://www.kt.com/eng/,wikidata
KTO,https://www.ktotv.com,wikidata
L'equipe,http://www.lequipe.fr/,wikidata
Levira,http://www.teletorn.ee/,wikidata
LG U+ (LG Uplus),http://www.uplus.co.kr/,wikidata
Liberty Global,https://www.libertyglobal.com/,wikidata
Liberty Latin America,https://www.libertypr.com/,wiki_parser
Liberty Networks,https://w.org,domains
Liquid Intelligent Technologies,https://liquid.tech,wikidata
Livas Telecommunications,https://salam.sa/ar/,wikidata
LIWEST,https://w.org,domains
LMT,http://lmt.lv,wiki_parser
LRT,https://en.wikipedia.org/wiki/LRT,llm
Lumen Technologies,https://www.lumen.com,wikidata
M:Tel (Telekom Srpske JSC Banjaluka),https://mtel.ba/,wiki_parser
M1 (Ukraine),http://m1.tv/,wikidata
M6 (Metropole Television),https://en.wikipedia.org/wiki/M6_(TV_channel),llm
M6 Web,https://w.org,domains
M7 Group,https://www.m7group.eu/,wiki_parser
Macademia,https://www.mcdonalds.com/us/en-us.html,wiki_parser
Magticom,http://www.magticom.ge/,wikidata
Magyar Telekom,https://www.telekom.hu/,wikidata
Marlink,https://marlink.com/,wikidata
Marvel Entertainment,https://www.marvel.com,wikidata
Match TV,http://www.matctv.ru,wikidata
MBC (Middle East Broadcasting Center),https://www.mbc.net/,wikidata
MBC (Munhwa Broadcasting Corporation),https://w.org,domains
MEASAT Broadcast Network Systems,https://w.org,domains
Media Broadcast,http://www.media-broadcast.com,wikidata
Media Nusantara Citra,https://www.mnc.co.id/,wikidata
MediaCorp TV,http://mediacorp.sg,wikidata
Mediapro,http://www.mediapro.tv,wikidata
Mediaset,https://www.mediaset.it/,wikidata
Mediawan Thematics,https://www.mediawan.com/,wikidata
MEGA TV Greece,https://www.megatv.com/,wikidata
Megacable (Mega movil),http://www.megacable.com.mx,wikidata
Megogo,http://megogo.net/,wikidata
Middle East Broadcasting Center,https://www.mbc.net/,wikidata
Millicom,http://www.millicom.com/,wikidata
Mola,https://www.mola.tv,wikidata
Movistar,https://www.movistar.es/,wikidata
MPC (Moving Pictures),https://www.mpcvfx.com/,wikidata
MTN,http://www.wintv.com.au/,wikidata
MTS (Mobile TeleSystems),http://www.mts.ru/,wiki_parser
MTS (Telekom Srbija),https://telekomsrbija.com/,wikidata
MTV,https://mtv.com,wikidata
Multichoice (DSTV),https://www.multichoice.com/,wikidata
Multimedios Television (Canal Seis),http://www.firmasglobales.com,wiki_parser
Nask,https://www.nask.pl/en,wiki_parser
